date,VorP,ëçåv,äCäOéYåv,ã{èÈ,àÔèÈ,ì»ñÿ,åQîn,çÈã ,êÁót,ìåãû,ê_ìﬁêÏ,éRóú,í∑ñÏ,ê√â™,êŒêÏ,ïüà‰,à§ím,é†âÍ,ãûìs,ëÂç„,ï∫å…,ìﬁó«,òaâÃéR,íπéÊ,ìáç™,â™éR,çLìá,éRå˚,ìøìá,çÅêÏ,çÇím,ïüâ™,ç≤âÍ,í∑çË,åFñ{,ã{çË,é≠éôìá,â´ìÍ,ñkäCìπ,ê¬êX,éRå`,ïüìá,êVäÉ,äÚïå,à§ïQ,ä‚éË,ëÂï™,èHìc,ïxéR,éOèd
2010-04-01,Volume,89582.0,14000.0,3.0,2.0,0.0,344.0,432.0,62.0,0.0,125.0,0.0,0.0,0.0,250.0,200.0,26451.0,176.0,0.0,135.0,9081.0,0.0,0.0,1737.0,0.0,716.0,0.0,7.0,3228.0,18476.0,736.0,7065.0,379.0,5445.0,402.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-02,Volume,105184.0,8731.0,99.0,2.0,0.0,356.0,536.0,46.0,0.0,105.0,0.0,300.0,24.0,295.0,200.0,36815.0,384.0,25.0,200.0,10645.0,46.0,38.0,3376.0,0.0,350.0,0.0,0.0,6942.0,17860.0,1077.0,13143.0,0.0,3154.0,258.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-03,Volume,140058.0,11366.0,62.0,63.0,0.0,0.0,452.0,67.0,0.0,258.0,0.0,0.0,27.0,285.0,350.0,47102.0,60.0,115.0,140.0,9693.0,26.0,20.0,6032.0,0.0,110.0,3.0,9.0,12042.0,23323.0,2906.0,19471.0,312.0,5030.0,629.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-04,Volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-05,Volume,155822.0,9794.0,130.0,2.0,0.0,306.0,1188.0,171.0,72.0,120.0,0.0,0.0,72.0,250.0,300.0,57222.0,90.0,95.0,110.0,10614.0,0.0,48.0,4892.0,0.0,60.0,0.0,9.0,10378.0,32802.0,5270.0,13744.0,194.0,7011.0,808.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-06,Volume,121100.0,8037.0,190.0,2.0,0.0,330.0,488.0,100.0,0.0,33.0,0.0,0.0,60.0,535.0,420.0,41335.0,265.0,135.0,320.0,10744.0,40.0,38.0,3006.0,0.0,30.0,1.0,5.0,10282.0,29321.0,2766.0,8484.0,395.0,3292.0,100.0,0.0,60.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-07,Volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-08,Volume,147115.0,13880.0,219.0,2.0,0.0,222.0,1008.0,109.0,0.0,0.0,0.0,0.0,142.0,110.0,225.0,45873.0,285.0,170.0,275.0,8360.0,24.0,42.0,3960.0,5.0,130.0,0.0,9.0,12735.0,35836.0,5721.0,11196.0,250.0,5694.0,309.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-09,Volume,101865.0,8943.0,401.0,2.0,0.0,165.0,400.0,22.0,0.0,209.0,0.0,0.0,82.0,0.0,200.0,31072.0,275.0,119.0,150.0,9796.0,0.0,15.0,2795.0,0.0,50.0,1.0,9.0,5820.0,28410.0,4101.0,5055.0,0.0,3316.0,256.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-10,Volume,128250.0,23493.0,196.0,14.0,0.0,160.0,1212.0,37.0,0.0,138.0,0.0,0.0,40.0,530.0,375.0,37049.0,170.0,160.0,480.0,10159.0,14.0,0.0,2662.0,0.0,655.0,0.0,0.0,4784.0,33911.0,3333.0,5214.0,40.0,3233.0,111.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-11,Volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-12,Volume,106225.0,12241.0,275.0,2.0,0.0,180.0,2576.0,12.0,0.0,0.0,0.0,0.0,30.0,100.0,750.0,25921.0,0.0,190.0,440.0,10057.0,54.0,5.0,2970.0,0.0,85.0,0.0,0.0,5320.0,27354.0,8529.0,5232.0,0.0,3330.0,280.0,0.0,0.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-13,Volume,95707.0,12258.0,147.0,2.0,0.0,90.0,4660.0,38.0,0.0,180.0,0.0,0.0,65.0,70.0,720.0,18615.0,125.0,110.0,385.0,11500.0,0.0,20.0,2760.0,0.0,0.0,0.0,0.0,2354.0,27953.0,7569.0,2943.0,0.0,2562.0,319.0,6.0,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-14,Volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-15,Volume,132902.0,17185.0,431.0,2.0,104.0,470.0,9136.0,31.0,12.0,175.0,0.0,0.0,33.0,670.0,275.0,22326.0,65.0,0.0,270.0,14861.0,0.0,40.0,2630.0,0.0,0.0,0.0,0.0,4162.0,37538.0,11202.0,3149.0,0.0,7334.0,579.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,Volume,78722.0,13595.0,272.0,2.0,56.0,147.0,7556.0,30.0,0.0,0.0,0.0,40.0,53.0,50.0,250.0,5089.0,0.0,0.0,230.0,10822.0,0.0,32.0,1095.0,0.0,0.0,0.0,0.0,2165.0,22626.0,5858.0,802.0,0.0,6980.0,897.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,Volume,93720.0,25097.0,672.0,42.0,68.0,460.0,8018.0,62.0,0.0,0.0,60.0,0.0,25.0,55.0,600.0,6081.0,0.0,0.0,0.0,12895.0,0.0,24.0,1475.0,0.0,0.0,0.0,0.0,2878.0,21141.0,4371.0,660.0,0.0,7716.0,1217.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,Volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-19,Volume,84476.0,16262.0,717.0,62.0,256.0,366.0,9760.0,54.0,0.0,0.0,40.0,0.0,5.0,280.0,250.0,7500.0,0.0,0.0,0.0,11064.0,0.0,24.0,1070.0,0.0,0.0,0.0,0.0,2586.0,14230.0,5956.0,1095.0,0.0,12169.0,730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,Volume,68288.0,19028.0,541.0,2.0,252.0,0.0,11064.0,56.0,0.0,0.0,0.0,0.0,15.0,35.0,275.0,3819.0,0.0,0.0,0.0,9002.0,0.0,32.0,640.0,0.0,0.0,0.0,0.0,2020.0,10311.0,3449.0,411.0,0.0,6470.0,806.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
